Application_ID,Application_Date,Month,Product_Type,Branch_Tier,State,Status,Loan_Amount,Customer_Segment,TAT_Application_Submission_hrs,SLA_Breach_Application_Submission,TAT_Document_Verification_hrs,SLA_Breach_Document_Verification,TAT_Credit_Assessment_hrs,SLA_Breach_Credit_Assessment,TAT_Approval_Rejection_hrs,SLA_Breach_Approval_Rejection,TAT_Loan_Disbursal_hrs,SLA_Breach_Loan_Disbursal,Total_TAT_hrs,Total_TAT_days,SLA_Breached
AU2025213,2024-02-11,2024-02,Vehicle Finance,Rural,Rajasthan,Disbursed,416000.0,Salaried,8.1,1,42.3,1,71.9,1,24.5,1,27.3,1,174.1,7.3,1
AU2025214,2025-04-30,2025-04,MSME Loan,Rural,Rajasthan,Disbursed,143000.0,Salaried,10.3,1,40.9,1,67.8,1,17.2,1,23.2,0,159.4,6.6,1
AU2025215,2024-05-15,2024-05,Home Loan,Rural,Odisha,Rejected,730000.0,Salaried,10.4,1,43.8,1,30.6,0,21.9,1,0.0,0,106.7,4.4,1
AU2025216,2025-01-27,2025-01,Home Loan,Semi-Urban,Madhya Pradesh,Disbursed,1029000.0,Salaried,5.3,0,29.6,1,26.2,0,9.1,0,24.9,1,95.1,4.0,1
AU2025217,2024-08-01,2024-08,MSME Loan,Urban,Odisha,Disbursed,76000.0,MSME Owner,2.8,0,14.3,0,18.6,0,5.8,0,15.5,0,57.0,2.4,0
AU2025218,2024-11-23,2024-11,MSME Loan,Urban,Odisha,Disbursed,1486000.0,MSME Owner,5.2,0,8.3,0,23.7,0,9.2,0,10.5,0,56.9,2.4,0
AU2025219,2024-09-11,2024-09,MSME Loan,Semi-Urban,Rajasthan,Pending Documents,352000.0,Salaried,9.2,1,19.7,0,75.5,1,9.9,0,19.3,0,133.6,5.6,1
AU2025220,2024-05-28,2024-05,Home Loan,Semi-Urban,Karnataka,Disbursed,257000.0,Self-Employed,4.3,0,47.8,1,37.4,0,12.8,0,10.3,0,112.6,4.7,1
AU2025221,2024-09-04,2024-09,Vehicle Finance,Urban,Uttar Pradesh,Disbursed,353000.0,Self-Employed,2.8,0,11.1,0,27.7,0,4.4,0,9.8,0,55.8,2.3,0
AU2025222,2025-02-16,2025-02,Personal Loan,Semi-Urban,Madhya Pradesh,Rejected,94000.0,Salaried,4.5,0,22.2,0,46.4,0,10.6,0,0.0,0,83.7,3.5,0
AU2025223,2024-06-01,2024-06,Personal Loan,Semi-Urban,Haryana,Rejected,695000.0,Self-Employed,9.2,1,23.7,0,22.0,0,11.5,0,0.0,0,66.4,2.8,1
AU2025224,2024-02-07,2024-02,Vehicle Finance,Semi-Urban,Tamil Nadu,Rejected,693000.0,Self-Employed,8.7,1,18.0,0,38.3,0,18.8,1,0.0,0,83.8,3.5,1
AU2025225,2024-03-21,2024-03,Home Loan,Semi-Urban,Rajasthan,Disbursed,378000.0,Self-Employed,4.8,0,52.7,1,42.3,0,9.3,0,12.2,0,121.3,5.1,1
AU2025226,2024-07-31,2024-07,Vehicle Finance,Urban,Tamil Nadu,Disbursed,50000.0,Salaried,5.2,0,22.6,0,30.2,0,10.6,0,8.6,0,77.2,3.2,0
AU2025227,2024-08-25,2024-08,Business Loan,Urban,Tamil Nadu,Rejected,670000.0,Farmer,4.9,0,22.1,0,42.2,0,7.1,0,0.0,0,76.3,3.2,0
AU2025228,2024-06-23,2024-06,Personal Loan,Urban,Madhya Pradesh,Rejected,1833000.0,Self-Employed,3.1,0,15.6,0,23.3,0,7.1,0,0.0,0,49.1,2.0,0
AU2025229,2024-03-14,2024-03,Vehicle Finance,Semi-Urban,Odisha,Under Review,50000.0,Farmer,9.3,1,18.5,0,19.0,0,0.0,0,0.0,0,46.8,1.9,1
AU2025230,2025-03-17,2025-03,MSME Loan,Semi-Urban,Punjab,Disbursed,1220000.0,Farmer,9.6,1,16.8,0,40.8,0,10.9,0,16.5,0,94.6,3.9,1
AU2025231,2025-01-10,2025-01,MSME Loan,Semi-Urban,Punjab,Rejected,621000.0,Self-Employed,4.2,0,13.5,0,52.4,1,16.6,1,0.0,0,86.7,3.6,1
AU2025232,2025-05-14,2025-05,Home Loan,Rural,Punjab,Disbursed,142000.0,MSME Owner,15.6,1,89.5,1,40.6,0,19.4,1,23.0,0,188.1,7.8,1
AU2025233,2024-03-07,2024-03,Personal Loan,Semi-Urban,Haryana,Under Review,1378000.0,Self-Employed,5.1,0,18.8,0,31.7,0,0.0,0,0.0,0,55.6,2.3,0
AU2025234,2024-09-20,2024-09,Home Loan,Urban,Punjab,Disbursed,129000.0,Self-Employed,4.7,0,27.0,1,22.7,0,6.8,0,16.0,0,77.2,3.2,1
AU2025235,2024-02-24,2024-02,Home Loan,Urban,Karnataka,Disbursed,674000.0,Salaried,2.4,0,25.2,1,13.2,0,6.7,0,15.0,0,62.5,2.6,1
AU2025236,2024-05-03,2024-05,Business Loan,Rural,Punjab,Rejected,665000.0,MSME Owner,12.0,1,31.6,1,75.7,1,28.6,1,0.0,0,147.9,6.2,1
AU2025237,2024-03-03,2024-03,Personal Loan,Semi-Urban,Tamil Nadu,Disbursed,98000.0,Self-Employed,8.4,1,24.4,1,42.4,0,16.7,1,21.1,0,113.0,4.7,1
AU2025238,2024-08-18,2024-08,Personal Loan,Rural,Uttar Pradesh,Pending Documents,258000.0,Salaried,15.5,1,50.0,1,30.8,0,27.8,1,23.4,0,147.5,6.1,1
AU2025239,2024-03-13,2024-03,Home Loan,Semi-Urban,Madhya Pradesh,Disbursed,77000.0,Salaried,5.0,0,40.8,1,34.5,0,9.5,0,12.0,0,101.8,4.2,1
AU2025240,2024-01-26,2024-01,Personal Loan,Semi-Urban,Gujarat,Rejected,297000.0,Salaried,9.4,1,33.8,1,38.9,0,19.1,1,0.0,0,101.2,4.2,1
AU2025241,2025-04-29,2025-04,MSME Loan,Semi-Urban,Uttar Pradesh,Disbursed,128000.0,Salaried,6.0,0,27.1,1,33.8,0,11.1,0,18.4,0,96.4,4.0,1
AU2025242,2025-03-18,2025-03,Personal Loan,Semi-Urban,Haryana,Pending Documents,647000.0,Self-Employed,6.9,0,16.5,0,44.8,0,11.0,0,11.6,0,90.8,3.8,0
AU2025243,2024-08-02,2024-08,Home Loan,Urban,Odisha,Disbursed,996000.0,Salaried,2.5,0,14.5,0,13.3,0,9.3,0,16.0,0,55.6,2.3,0
AU2025244,2025-05-07,2025-05,Business Loan,Rural,Madhya Pradesh,Disbursed,101000.0,Self-Employed,12.2,1,46.1,1,95.5,1,21.8,1,36.8,1,212.4,8.9,1
AU2025245,2025-02-20,2025-02,MSME Loan,Urban,Maharashtra,Disbursed,165000.0,MSME Owner,4.4,0,10.9,0,31.4,0,7.7,0,11.0,0,65.4,2.7,0
AU2025246,2025-04-23,2025-04,Personal Loan,Rural,Punjab,Rejected,2436000.0,Farmer,9.4,1,33.0,1,50.0,1,26.4,1,0.0,0,118.8,5.0,1
AU2025247,2025-01-04,2025-01,MSME Loan,Semi-Urban,Odisha,Disbursed,214000.0,Salaried,5.0,0,31.0,1,73.7,1,13.0,0,27.1,1,149.8,6.2,1
AU2025248,2024-04-07,2024-04,MSME Loan,Semi-Urban,Punjab,Rejected,1879000.0,Salaried,8.2,1,13.3,0,66.7,1,17.9,1,0.0,0,106.1,4.4,1
AU2025249,2024-09-12,2024-09,Business Loan,Semi-Urban,Maharashtra,Disbursed,50000.0,Salaried,7.6,0,19.1,0,27.8,0,8.0,0,11.8,0,74.3,3.1,0
AU2025250,2024-08-27,2024-08,Home Loan,Rural,Karnataka,Disbursed,73000.0,Self-Employed,9.4,1,67.1,1,68.8,1,15.5,0,40.9,1,201.7,8.4,1
AU2025251,2025-03-26,2025-03,Personal Loan,Urban,Tamil Nadu,Disbursed,281000.0,Self-Employed,2.7,0,14.0,0,22.0,0,6.4,0,13.9,0,59.0,2.5,0
AU2025252,2024-09-11,2024-09,MSME Loan,Semi-Urban,Uttar Pradesh,Disbursed,575000.0,Self-Employed,6.7,0,15.6,0,47.9,0,11.3,0,27.0,1,108.5,4.5,1
AU2025253,2024-02-16,2024-02,MSME Loan,Urban,Rajasthan,Disbursed,164000.0,Salaried,3.6,0,22.0,0,37.6,0,6.7,0,8.5,0,78.4,3.3,0
AU2025254,2024-09-15,2024-09,MSME Loan,Semi-Urban,Haryana,Disbursed,130000.0,Farmer,7.1,0,21.6,0,51.6,1,17.3,1,16.1,0,113.7,4.7,1
AU2025255,2025-05-09,2025-05,Personal Loan,Semi-Urban,Tamil Nadu,Rejected,78000.0,MSME Owner,9.3,1,20.9,0,20.3,0,19.5,1,0.0,0,70.0,2.9,1
AU2025256,2024-04-20,2024-04,Vehicle Finance,Semi-Urban,Madhya Pradesh,Disbursed,550000.0,MSME Owner,7.3,0,23.7,0,21.4,0,9.0,0,16.1,0,77.5,3.2,0
AU2025257,2024-06-29,2024-06,Business Loan,Rural,Odisha,Rejected,117000.0,MSME Owner,13.2,1,30.0,1,113.2,1,18.8,1,0.0,0,175.2,7.3,1
AU2025258,2024-01-26,2024-01,Vehicle Finance,Rural,Rajasthan,Under Review,1329000.0,MSME Owner,15.9,1,56.0,1,50.5,1,0.0,0,0.0,0,122.4,5.1,1
AU2025259,2024-09-10,2024-09,Personal Loan,Rural,Uttar Pradesh,Disbursed,2124000.0,Self-Employed,14.1,1,26.0,1,48.3,1,27.7,1,24.4,1,140.5,5.9,1
AU2025260,2025-03-27,2025-03,Business Loan,Rural,Odisha,Disbursed,106000.0,Self-Employed,14.3,1,52.8,1,70.1,1,26.7,1,34.0,1,197.9,8.2,1
AU2025261,2024-05-26,2024-05,Business Loan,Semi-Urban,Tamil Nadu,Rejected,50000.0,Self-Employed,4.3,0,16.1,0,39.6,0,11.4,0,0.0,0,71.4,3.0,0
AU2025262,2024-01-05,2024-01,Personal Loan,Rural,Karnataka,Disbursed,367000.0,Salaried,16.8,1,27.1,1,45.3,0,27.3,1,36.5,1,153.0,6.4,1
AU2025263,2024-08-08,2024-08,Business Loan,Semi-Urban,Gujarat,Rejected,50000.0,Farmer,9.4,1,20.2,0,75.9,1,8.0,0,0.0,0,113.5,4.7,1
AU2025264,2025-03-27,2025-03,MSME Loan,Urban,Maharashtra,Disbursed,169000.0,MSME Owner,4.5,0,11.8,0,36.6,0,11.4,0,15.8,0,80.1,3.3,0
AU2025265,2025-01-07,2025-01,Business Loan,Rural,Uttar Pradesh,Rejected,52000.0,Salaried,8.4,1,30.1,1,92.7,1,15.3,0,0.0,0,146.5,6.1,1
AU2025266,2025-01-26,2025-01,Personal Loan,Rural,Punjab,Disbursed,264000.0,Salaried,17.1,1,42.7,1,27.6,0,14.0,0,29.5,1,130.9,5.5,1
AU2025267,2024-07-06,2024-07,MSME Loan,Semi-Urban,Haryana,Under Review,216000.0,Self-Employed,4.3,0,35.4,1,25.9,0,0.0,0,0.0,0,65.6,2.7,1
AU2025268,2024-07-24,2024-07,Personal Loan,Semi-Urban,Rajasthan,Pending Documents,359000.0,Self-Employed,8.4,1,16.3,0,46.8,0,15.7,0,25.2,1,112.4,4.7,1
AU2025269,2024-10-18,2024-10,Vehicle Finance,Semi-Urban,Rajasthan,Pending Documents,65000.0,Self-Employed,9.2,1,34.9,1,38.3,0,14.6,0,10.1,0,107.1,4.5,1
AU2025270,2024-04-09,2024-04,Personal Loan,Urban,Karnataka,Disbursed,105000.0,Self-Employed,3.7,0,9.6,0,13.0,0,9.4,0,12.4,0,48.1,2.0,0
AU2025271,2024-10-10,2024-10,Business Loan,Semi-Urban,Punjab,Under Review,83000.0,Self-Employed,7.8,0,34.9,1,67.8,1,0.0,0,0.0,0,110.5,4.6,1
AU2025272,2024-02-07,2024-02,Personal Loan,Semi-Urban,Uttar Pradesh,Pending Documents,638000.0,Self-Employed,10.0,1,25.9,1,19.3,0,15.0,0,14.9,0,85.1,3.5,1
AU2025273,2024-09-15,2024-09,Personal Loan,Rural,Haryana,Disbursed,278000.0,MSME Owner,10.9,1,31.0,1,70.7,1,18.5,1,36.0,1,167.1,7.0,1
AU2025274,2025-01-26,2025-01,Vehicle Finance,Semi-Urban,Tamil Nadu,Under Review,97000.0,Farmer,5.1,0,25.1,1,46.5,0,0.0,0,0.0,0,76.7,3.2,1
AU2025275,2024-05-23,2024-05,Home Loan,Rural,Karnataka,Pending Documents,1702000.0,Salaried,9.7,1,59.6,1,57.7,1,16.1,1,18.1,0,161.2,6.7,1
AU2025276,2024-12-14,2024-12,Business Loan,Rural,Odisha,Rejected,67000.0,Self-Employed,9.7,1,27.8,1,107.4,1,30.0,1,0.0,0,174.9,7.3,1
AU2025277,2024-03-01,2024-03,Personal Loan,Urban,Odisha,Disbursed,172000.0,Salaried,3.2,0,11.2,0,30.6,0,9.7,0,13.6,0,68.3,2.8,0
AU2025278,2025-05-14,2025-05,Business Loan,Rural,Maharashtra,Pending Documents,153000.0,Self-Employed,8.9,1,39.7,1,80.7,1,21.4,1,27.9,1,178.6,7.4,1
AU2025279,2024-07-20,2024-07,Vehicle Finance,Rural,Gujarat,Disbursed,139000.0,MSME Owner,8.4,1,26.4,1,50.5,1,13.9,0,18.7,0,117.9,4.9,1
AU2025280,2025-02-10,2025-02,Personal Loan,Semi-Urban,Punjab,Rejected,523000.0,Salaried,7.7,0,21.9,0,37.6,0,19.9,1,0.0,0,87.1,3.6,1
AU2025281,2024-10-12,2024-10,Personal Loan,Rural,Punjab,Disbursed,82000.0,Farmer,10.8,1,37.8,1,28.4,0,14.0,0,39.8,1,130.8,5.5,1
AU2025282,2025-01-21,2025-01,MSME Loan,Semi-Urban,Punjab,Rejected,112000.0,Salaried,4.0,0,20.4,0,37.3,0,8.7,0,0.0,0,70.4,2.9,0
AU2025283,2024-04-11,2024-04,Personal Loan,Rural,Maharashtra,Disbursed,701000.0,Self-Employed,13.9,1,43.6,1,28.8,0,17.7,1,19.5,0,123.5,5.1,1
AU2025284,2024-09-17,2024-09,Business Loan,Urban,Odisha,Disbursed,381000.0,Self-Employed,3.5,0,21.5,0,25.0,0,9.9,0,15.1,0,75.0,3.1,0
AU2025285,2024-09-13,2024-09,Business Loan,Urban,Haryana,Disbursed,2198000.0,Salaried,2.2,0,9.8,0,23.7,0,8.0,0,16.2,0,59.9,2.5,0
AU2025286,2024-01-24,2024-01,Personal Loan,Rural,Rajasthan,Pending Documents,134000.0,Self-Employed,13.6,1,54.6,1,71.8,1,21.1,1,28.4,1,189.5,7.9,1
AU2025287,2024-03-11,2024-03,Personal Loan,Urban,Rajasthan,Disbursed,215000.0,Self-Employed,5.3,0,16.1,0,34.0,0,9.0,0,16.1,0,80.5,3.4,0
AU2025288,2025-02-15,2025-02,Personal Loan,Rural,Punjab,Rejected,167000.0,Farmer,8.3,1,40.7,1,39.0,0,24.0,1,0.0,0,112.0,4.7,1
AU2025289,2024-09-22,2024-09,Business Loan,Semi-Urban,Tamil Nadu,Pending Documents,162000.0,MSME Owner,9.4,1,22.5,0,36.9,0,12.9,0,22.9,0,104.6,4.4,1
AU2025290,2024-03-17,2024-03,Personal Loan,Urban,Tamil Nadu,Disbursed,1053000.0,Salaried,4.7,0,22.9,0,17.7,0,9.5,0,17.7,0,72.5,3.0,0
AU2025291,2025-04-02,2025-04,MSME Loan,Urban,Odisha,Disbursed,202000.0,Salaried,4.8,0,19.6,0,43.6,0,6.7,0,8.0,0,82.7,3.4,0
AU2025292,2024-03-12,2024-03,Vehicle Finance,Semi-Urban,Karnataka,Rejected,50000.0,Salaried,5.3,0,18.4,0,20.8,0,12.2,0,0.0,0,56.7,2.4,0
AU2025293,2025-04-21,2025-04,Personal Loan,Semi-Urban,Punjab,Disbursed,123000.0,MSME Owner,8.3,1,25.9,1,46.8,0,8.3,0,23.3,0,112.6,4.7,1
AU2025294,2024-06-12,2024-06,MSME Loan,Rural,Odisha,Disbursed,93000.0,Self-Employed,15.1,1,35.4,1,77.2,1,24.4,1,30.6,1,182.7,7.6,1
AU2025295,2024-07-20,2024-07,MSME Loan,Rural,Maharashtra,Disbursed,153000.0,Self-Employed,10.4,1,44.1,1,111.5,1,27.8,1,30.1,1,223.9,9.3,1
AU2025296,2025-01-13,2025-01,Business Loan,Urban,Odisha,Disbursed,309000.0,Salaried,3.3,0,11.5,0,55.8,1,9.8,0,10.2,0,90.6,3.8,1
AU2025297,2024-10-30,2024-10,Personal Loan,Semi-Urban,Uttar Pradesh,Disbursed,90000.0,Self-Employed,9.0,1,26.8,1,37.0,0,14.5,0,26.7,1,114.0,4.8,1
AU2025298,2024-09-16,2024-09,MSME Loan,Semi-Urban,Punjab,Disbursed,61000.0,Self-Employed,7.0,0,14.5,0,35.1,0,13.8,0,26.0,1,96.4,4.0,1
AU2025299,2024-09-29,2024-09,Vehicle Finance,Semi-Urban,Karnataka,Disbursed,222000.0,Self-Employed,6.7,0,27.8,1,19.5,0,13.9,0,15.3,0,83.2,3.5,1
AU2025300,2024-12-28,2024-12,Business Loan,Rural,Tamil Nadu,Disbursed,301000.0,Farmer,12.2,1,50.8,1,103.2,1,17.6,1,29.8,1,213.6,8.9,1
AU2025301,2024-06-02,2024-06,Business Loan,Rural,Odisha,Disbursed,50000.0,Salaried,14.8,1,44.4,1,68.8,1,21.7,1,23.9,0,173.6,7.2,1
AU2025302,2025-02-21,2025-02,Business Loan,Semi-Urban,Tamil Nadu,Under Review,523000.0,Self-Employed,4.1,0,29.4,1,26.8,0,0.0,0,0.0,0,60.3,2.5,1
AU2025303,2024-07-07,2024-07,Business Loan,Urban,Rajasthan,Disbursed,174000.0,Self-Employed,3.5,0,13.1,0,41.5,0,5.3,0,16.2,0,79.6,3.3,0
AU2025304,2024-12-10,2024-12,MSME Loan,Semi-Urban,Punjab,Under Review,114000.0,Self-Employed,9.4,1,35.3,1,57.4,1,0.0,0,0.0,0,102.1,4.3,1
AU2025305,2024-08-01,2024-08,Personal Loan,Semi-Urban,Gujarat,Disbursed,3056000.0,Self-Employed,5.9,0,26.6,1,23.6,0,15.5,0,13.1,0,84.7,3.5,1
AU2025306,2024-06-06,2024-06,Personal Loan,Urban,Odisha,Disbursed,332000.0,Self-Employed,2.2,0,8.1,0,35.7,0,9.3,0,10.4,0,65.7,2.7,0
AU2025307,2024-11-01,2024-11,Vehicle Finance,Urban,Rajasthan,Disbursed,65000.0,Self-Employed,5.5,0,10.9,0,32.2,0,5.0,0,8.6,0,62.2,2.6,0
AU2025308,2024-05-15,2024-05,Personal Loan,Urban,Tamil Nadu,Under Review,110000.0,Farmer,5.5,0,20.1,0,34.4,0,0.0,0,0.0,0,60.0,2.5,0
AU2025309,2024-10-22,2024-10,Home Loan,Rural,Odisha,Rejected,246000.0,Salaried,15.7,1,46.5,1,39.8,0,13.9,0,0.0,0,115.9,4.8,1
AU2025310,2025-01-04,2025-01,Business Loan,Semi-Urban,Madhya Pradesh,Disbursed,240000.0,MSME Owner,9.1,1,22.5,0,44.3,0,17.0,1,26.4,1,119.3,5.0,1
AU2025311,2024-10-25,2024-10,Home Loan,Urban,Rajasthan,Under Review,367000.0,Self-Employed,4.3,0,31.6,1,16.5,0,0.0,0,0.0,0,52.4,2.2,1
AU2025312,2024-03-28,2024-03,MSME Loan,Urban,Tamil Nadu,Disbursed,157000.0,MSME Owner,4.6,0,17.3,0,37.7,0,10.7,0,8.8,0,79.1,3.3,0
AU2025313,2024-11-18,2024-11,Business Loan,Urban,Karnataka,Disbursed,79000.0,Salaried,3.3,0,15.5,0,17.1,0,4.7,0,14.2,0,54.8,2.3,0
AU2025314,2025-01-31,2025-01,Business Loan,Rural,Odisha,Rejected,308000.0,Farmer,13.3,1,48.6,1,52.5,1,19.9,1,0.0,0,134.3,5.6,1
AU2025315,2024-03-16,2024-03,Personal Loan,Urban,Haryana,Disbursed,220000.0,MSME Owner,3.5,0,22.8,0,14.3,0,7.0,0,14.5,0,62.1,2.6,0
AU2025316,2024-01-17,2024-01,Personal Loan,Semi-Urban,Madhya Pradesh,Disbursed,296000.0,MSME Owner,6.0,0,26.2,1,32.8,0,19.3,1,23.5,0,107.8,4.5,1
AU2025317,2025-04-30,2025-04,Home Loan,Urban,Odisha,Disbursed,614000.0,Self-Employed,5.7,0,16.7,0,18.5,0,7.3,0,8.9,0,57.1,2.4,0
AU2025318,2024-04-07,2024-04,Personal Loan,Rural,Gujarat,Disbursed,331000.0,Salaried,13.5,1,27.0,1,67.9,1,19.3,1,29.8,1,157.5,6.6,1
AU2025319,2024-08-13,2024-08,Business Loan,Semi-Urban,Rajasthan,Disbursed,337000.0,Self-Employed,8.8,1,32.0,1,40.5,0,13.6,0,25.7,1,120.6,5.0,1
AU2025320,2024-08-02,2024-08,Personal Loan,Rural,Punjab,Disbursed,655000.0,Self-Employed,16.6,1,27.7,1,40.7,0,21.7,1,42.3,1,149.0,6.2,1
AU2025321,2024-07-30,2024-07,Personal Loan,Rural,Maharashtra,Disbursed,1846000.0,Salaried,15.6,1,27.3,1,48.7,1,13.1,0,28.7,1,133.4,5.6,1
AU2025322,2024-07-29,2024-07,Vehicle Finance,Semi-Urban,Madhya Pradesh,Disbursed,54000.0,Self-Employed,9.7,1,32.4,1,22.4,0,8.4,0,26.8,1,99.7,4.2,1
AU2025323,2025-01-31,2025-01,Vehicle Finance,Semi-Urban,Karnataka,Rejected,177000.0,Salaried,6.9,0,35.2,1,38.2,0,9.8,0,0.0,0,90.1,3.8,1
AU2025324,2025-04-16,2025-04,Personal Loan,Rural,Odisha,Disbursed,115000.0,Self-Employed,17.2,1,55.7,1,45.9,0,19.4,1,34.7,1,172.9,7.2,1
AU2025325,2025-03-22,2025-03,Personal Loan,Urban,Tamil Nadu,Pending Documents,116000.0,Salaried,2.8,0,15.6,0,23.8,0,4.1,0,7.8,0,54.1,2.3,0
AU2025326,2024-12-27,2024-12,Business Loan,Semi-Urban,Rajasthan,Disbursed,1452000.0,Farmer,6.0,0,15.2,0,50.0,1,17.0,1,12.0,0,100.2,4.2,1
AU2025327,2024-09-22,2024-09,Business Loan,Urban,Maharashtra,Disbursed,50000.0,Self-Employed,3.2,0,21.5,0,40.7,0,7.6,0,10.9,0,83.9,3.5,0
AU2025328,2024-10-14,2024-10,Vehicle Finance,Urban,Madhya Pradesh,Under Review,1067000.0,MSME Owner,5.0,0,15.2,0,26.7,0,0.0,0,0.0,0,46.9,2.0,0
AU2025329,2024-12-05,2024-12,Vehicle Finance,Semi-Urban,Punjab,Disbursed,1063000.0,Self-Employed,7.7,0,29.3,1,37.3,0,14.2,0,22.3,0,110.8,4.6,1
AU2025330,2024-09-26,2024-09,Business Loan,Urban,Tamil Nadu,Disbursed,2589000.0,Farmer,3.4,0,14.3,0,24.3,0,4.6,0,15.3,0,61.9,2.6,0
AU2025331,2024-06-09,2024-06,Personal Loan,Semi-Urban,Haryana,Rejected,1202000.0,Self-Employed,9.3,1,22.7,0,26.5,0,18.8,1,0.0,0,77.3,3.2,1
AU2025332,2024-08-23,2024-08,Personal Loan,Urban,Maharashtra,Disbursed,50000.0,Farmer,3.8,0,13.0,0,34.6,0,10.8,0,16.1,0,78.3,3.3,0
AU2025333,2024-06-24,2024-06,Vehicle Finance,Rural,Karnataka,Disbursed,760000.0,Self-Employed,17.8,1,34.5,1,62.1,1,20.8,1,19.2,0,154.4,6.4,1
AU2025334,2024-06-30,2024-06,Home Loan,Urban,Karnataka,Disbursed,92000.0,Salaried,5.8,0,28.5,1,29.8,0,8.0,0,11.7,0,83.8,3.5,1
AU2025335,2024-11-08,2024-11,Personal Loan,Semi-Urban,Uttar Pradesh,Disbursed,119000.0,Farmer,8.8,1,21.9,0,22.5,0,17.4,1,12.2,0,82.8,3.4,1
AU2025336,2024-04-08,2024-04,Personal Loan,Urban,Tamil Nadu,Disbursed,128000.0,Salaried,3.9,0,20.0,0,17.3,0,5.8,0,17.4,0,64.4,2.7,0
AU2025337,2024-05-22,2024-05,MSME Loan,Rural,Madhya Pradesh,Under Review,838000.0,Salaried,10.1,1,36.2,1,59.1,1,0.0,0,0.0,0,105.4,4.4,1
AU2025338,2024-06-01,2024-06,Home Loan,Urban,Karnataka,Under Review,181000.0,Farmer,3.1,0,12.1,0,27.8,0,0.0,0,0.0,0,43.0,1.8,0
AU2025339,2025-04-27,2025-04,Business Loan,Rural,Madhya Pradesh,Rejected,394000.0,MSME Owner,10.1,1,26.8,1,55.7,1,16.5,1,0.0,0,109.1,4.5,1
AU2025340,2025-01-29,2025-01,Personal Loan,Semi-Urban,Uttar Pradesh,Disbursed,163000.0,Self-Employed,4.1,0,23.6,0,19.7,0,19.7,1,24.2,1,91.3,3.8,1
AU2025341,2024-12-26,2024-12,Vehicle Finance,Urban,Uttar Pradesh,Disbursed,446000.0,MSME Owner,2.8,0,17.1,0,31.5,0,10.1,0,15.6,0,77.1,3.2,0
AU2025342,2024-12-19,2024-12,MSME Loan,Rural,Madhya Pradesh,Disbursed,1248000.0,MSME Owner,18.0,1,24.5,1,62.1,1,17.1,1,25.9,1,147.6,6.1,1
AU2025343,2024-06-11,2024-06,Personal Loan,Semi-Urban,Tamil Nadu,Disbursed,386000.0,MSME Owner,8.2,1,18.0,0,25.6,0,15.5,0,23.7,0,91.0,3.8,1
AU2025344,2024-06-27,2024-06,MSME Loan,Rural,Tamil Nadu,Pending Documents,674000.0,MSME Owner,16.9,1,24.4,1,112.2,1,20.5,1,41.9,1,215.9,9.0,1
AU2025345,2025-04-23,2025-04,Personal Loan,Urban,Karnataka,Disbursed,322000.0,Salaried,2.5,0,20.9,0,12.2,0,6.5,0,8.1,0,50.2,2.1,0
AU2025346,2024-05-27,2024-05,Vehicle Finance,Urban,Uttar Pradesh,Disbursed,2917000.0,Salaried,2.7,0,12.0,0,35.4,0,7.2,0,13.2,0,70.5,2.9,0
AU2025347,2024-10-20,2024-10,Personal Loan,Semi-Urban,Gujarat,Disbursed,224000.0,Salaried,6.8,0,21.6,0,22.1,0,16.3,1,27.9,1,94.7,3.9,1
AU2025348,2024-07-13,2024-07,Business Loan,Semi-Urban,Karnataka,Pending Documents,230000.0,MSME Owner,4.8,0,24.3,1,39.2,0,9.9,0,17.7,0,95.9,4.0,1
AU2025349,2025-02-23,2025-02,Personal Loan,Semi-Urban,Haryana,Disbursed,1079000.0,Self-Employed,4.9,0,15.4,0,35.5,0,19.8,1,11.7,0,87.3,3.6,1
AU2025350,2025-05-03,2025-05,Business Loan,Rural,Punjab,Disbursed,289000.0,Self-Employed,11.1,1,34.7,1,58.1,1,27.9,1,39.7,1,171.5,7.1,1
AU2025351,2024-05-28,2024-05,Home Loan,Rural,Maharashtra,Disbursed,863000.0,Self-Employed,12.6,1,77.2,1,38.8,0,23.6,1,44.5,1,196.7,8.2,1
AU2025352,2024-05-27,2024-05,Business Loan,Urban,Rajasthan,Disbursed,1133000.0,Farmer,3.9,0,15.5,0,42.8,0,4.8,0,9.0,0,76.0,3.2,0
AU2025353,2024-06-26,2024-06,MSME Loan,Semi-Urban,Gujarat,Disbursed,74000.0,Salaried,8.1,1,30.3,1,67.8,1,11.5,0,26.8,1,144.5,6.0,1
AU2025354,2024-12-01,2024-12,Vehicle Finance,Semi-Urban,Tamil Nadu,Disbursed,182000.0,MSME Owner,7.7,0,32.1,1,33.5,0,12.5,0,26.6,1,112.4,4.7,1
AU2025355,2025-01-17,2025-01,Personal Loan,Rural,Uttar Pradesh,Disbursed,147000.0,MSME Owner,9.4,1,44.9,1,66.6,1,20.5,1,40.4,1,181.8,7.6,1
AU2025356,2024-04-19,2024-04,MSME Loan,Semi-Urban,Tamil Nadu,Pending Documents,67000.0,Salaried,5.5,0,15.4,0,53.5,1,10.2,0,10.7,0,95.3,4.0,1
AU2025357,2025-02-27,2025-02,Personal Loan,Rural,Madhya Pradesh,Disbursed,214000.0,Self-Employed,16.9,1,26.5,1,71.1,1,23.1,1,23.5,0,161.1,6.7,1
